iter	Passed	Remaining
0	149	149190
1	150	75301
2	151	50481
3	154	38421
4	155	30997
5	157	26040
6	158	22483
7	159	19776
8	160	17683
9	161	16007
10	162	14642
11	163	13500
12	164	12522
13	166	11702
14	167	10980
15	169	10442
16	171	9921
17	173	9455
18	174	9015
19	175	8619
20	176	8250
21	177	7912
22	178	7600
23	179	7316
24	180	7056
25	181	6814
26	184	6637
27	186	6482
28	188	6296
29	189	6124
30	190	5959
31	191	5797
32	192	5647
33	193	5503
34	194	5367
35	195	5238
36	196	5116
37	201	5107
38	203	5016
39	204	4915
40	205	4817
41	207	4724
42	208	4636
43	209	4547
44	210	4461
45	211	4379
46	213	4321
47	216	4298
48	218	4231
49	219	4162
50	220	4095
51	221	4031
52	222	3969
53	223	3909
54	224	3850
55	225	3795
56	226	3744
57	231	3758
58	232	3714
59	234	3671
60	235	3629
61	236	3584
62	238	3544
63	239	3504
64	241	3470
65	243	3443
66	244	3408
67	246	3373
68	247	3339
69	248	3304
70	249	3269
71	251	3235
72	252	3206
73	253	3174
74	255	3146
75	257	3131
76	260	3124
77	262	3097
78	264	3080
79	265	3053
80	266	3025
81	267	2999
82	268	2967
83	270	2946
84	271	2926
85	273	2906
86	274	2885
87	276	2865
88	279	2856
89	280	2836
90	281	2815
91	283	2795
92	284	2773
93	285	2754
94	287	2739
95	289	2724
96	290	2708
97	294	2709
98	295	2693
99	297	2677
100	298	2660
101	300	2644
102	304	2650
103	305	2634
104	307	2616
105	308	2600
106	309	2585
107	313	2588
108	314	2572
109	316	2559
110	318	2552
111	322	2557
112	326	2564
113	328	2551
114	330	2545
115	335	2553
116	336	2538
117	337	2525
118	339	2515
119	341	2501
120	342	2487
121	343	2473
122	345	2461
123	346	2450
124	348	2439
125	350	2429
126	352	2420
127	353	2410
128	355	2398
129	356	2385
130	357	2374
131	359	2364
132	361	2356
133	363	2350
134	365	2339
135	367	2332
136	368	2322
137	370	2311
138	371	2301
139	372	2290
140	374	2281
141	375	2269
142	377	2260
143	378	2251
144	395	2330
145	396	2321
146	398	2310
147	399	2299
148	400	2288
149	401	2277
150	403	2270
151	405	2260
152	406	2251
153	408	2246
154	410	2237
155	412	2230
156	413	2221
157	415	2211
158	416	2201
159	417	2190
160	418	2178
161	419	2168
162	420	2161
163	422	2153
164	424	2145
165	425	2137
166	426	2129
167	428	2120
168	429	2111
169	430	2102
170	431	2092
171	433	2085
172	434	2079
173	437	2074
174	439	2071
175	441	2064
176	442	2057
177	443	2049
178	444	2040
179	446	2032
180	447	2024
181	448	2016
182	450	2010
183	452	2005
184	453	1997
185	454	1990
186	456	1983
187	457	1975
188	458	1968
189	459	1960
190	461	1953
191	462	1944
192	467	1954
193	468	1947
194	470	1942
195	472	1936
196	473	1931
197	475	1924
198	476	1917
199	478	1912
200	479	1907
201	481	1902
202	483	1897
203	484	1891
204	486	1885
205	487	1878
206	488	1871
207	489	1864
208	491	1858
209	492	1853
210	495	1853
211	497	1848
212	499	1844
213	500	1838
214	501	1832
215	503	1826
216	504	1820
217	505	1814
218	507	1810
219	509	1805
220	510	1800
221	512	1795
222	513	1790
223	515	1784
224	516	1778
225	517	1772
226	518	1766
227	519	1760
228	521	1754
229	525	1760
230	527	1756
231	529	1752
232	530	1747
233	532	1742
234	533	1736
235	534	1731
236	537	1730
237	539	1728
238	541	1722
239	542	1717
240	543	1713
241	545	1708
242	546	1703
243	548	1698
244	549	1692
245	552	1692
246	555	1692
247	556	1688
248	558	1683
249	559	1678
250	561	1674
251	562	1668
252	563	1663
253	565	1659
254	566	1656
255	570	1657
256	571	1653
257	573	1648
258	574	1644
259	576	1640
260	577	1635
261	579	1631
262	581	1628
263	584	1630
264	585	1625
265	587	1621
266	589	1617
267	590	1613
268	591	1608
269	593	1603
270	594	1600
271	596	1596
272	598	1593
273	599	1589
274	601	1585
275	602	1581
276	604	1576
277	605	1572
278	606	1567
279	608	1563
280	610	1563
281	614	1564
282	615	1560
283	617	1556
284	618	1551
285	619	1547
286	621	1542
287	622	1538
288	623	1533
289	625	1530
290	626	1527
291	628	1524
292	629	1520
293	631	1516
294	632	1511
295	633	1507
296	635	1503
297	636	1499
298	637	1494
299	642	1498
300	644	1496
301	645	1492
302	647	1489
303	648	1485
304	650	1482
305	651	1477
306	653	1474
307	654	1470
308	656	1468
309	658	1464
310	660	1463
311	661	1459
312	662	1455
313	664	1450
314	665	1446
315	666	1443
316	667	1439
317	669	1436
318	671	1432
319	674	1433
320	676	1430
321	678	1427
322	679	1424
323	681	1421
324	683	1418
325	684	1415
326	686	1413
327	688	1409
328	689	1406
329	691	1404
330	693	1401
331	694	1397
332	695	1393
333	697	1390
334	698	1386
335	700	1383
336	702	1381
337	703	1378
338	705	1375
339	706	1371
340	707	1367
341	709	1364
342	710	1360
343	712	1358
344	713	1355
345	715	1352
346	718	1352
347	720	1349
348	722	1347
349	723	1344
350	725	1340
351	728	1341
352	730	1338
353	732	1337
354	734	1334
355	735	1331
356	737	1328
357	739	1325
358	740	1321
359	742	1319
360	743	1315
361	745	1313
362	747	1311
363	750	1310
364	751	1308
365	753	1305
366	754	1302
367	756	1299
368	758	1296
369	759	1293
370	762	1293
371	764	1290
372	765	1287
373	767	1284
374	769	1281
375	770	1278
376	772	1276
377	773	1273
378	775	1270
379	777	1268
380	778	1265
381	780	1262
382	781	1259
383	782	1256
384	784	1252
385	785	1250
386	787	1247
387	788	1244
388	794	1247
389	795	1244
390	797	1241
391	798	1238
392	800	1235
393	801	1233
394	803	1230
395	805	1228
396	807	1227
397	809	1224
398	810	1221
399	812	1218
400	813	1214
401	814	1211
402	816	1209
403	819	1208
404	820	1205
405	822	1202
406	823	1199
407	824	1196
408	826	1193
409	827	1191
410	830	1189
411	832	1187
412	834	1186
413	835	1183
414	837	1180
415	838	1177
416	839	1173
417	840	1170
418	841	1167
419	843	1164
420	845	1162
421	846	1159
422	848	1157
423	850	1155
424	851	1152
425	854	1150
426	855	1148
427	856	1145
428	858	1142
429	860	1140
430	862	1138
431	863	1135
432	865	1133
433	866	1130
434	868	1127
435	869	1125
436	871	1122
437	872	1119
438	923	1179
439	949	1209
440	951	1206
441	953	1203
442	955	1201
443	976	1222
444	980	1222
445	984	1222
446	985	1219
447	987	1216
448	990	1215
449	992	1212
450	993	1209
451	995	1206
452	996	1203
453	997	1200
454	999	1196
455	1000	1193
456	1002	1191
457	1004	1189
458	1007	1187
459	1009	1185
460	1014	1185
461	1015	1183
462	1017	1180
463	1019	1177
464	1021	1174
465	1022	1172
466	1024	1169
467	1030	1171
468	1032	1169
469	1034	1166
470	1036	1163
471	1037	1160
472	1038	1157
473	1040	1154
474	1041	1151
475	1043	1148
